experiment,device,model,sample_id,expected,predicted,correct,tokens_per_sec,ttft_ms
E2-accuracy,device1,tinyllama,1,inquiry,"response:
hi, i am u",False,1.4,6679.63
E2-accuracy,device1,tinyllama,2,inquiry,"response:
sure! the ",False,3.5,2407.4
E2-accuracy,device1,tinyllama,3,inquiry,"response:
return pol",False,3.41,2503.51
E2-accuracy,device1,tinyllama,4,inquiry,"response:
based on t",False,3.76,2239.64
E2-accuracy,device1,tinyllama,5,inquiry,"response:
the email ",False,3.64,2326.17
E2-accuracy,device1,tinyllama,6,inquiry,"response:
yes, your ",False,3.67,2306.4
E2-accuracy,device1,tinyllama,7,inquiry,inquiry,True,3.83,2144.96
E2-accuracy,device1,tinyllama,8,inquiry,"response:
the email ",False,3.69,2219.05
E2-accuracy,device1,tinyllama,9,inquiry,"response:
yes, we do",False,3.79,2175.86
E2-accuracy,device1,tinyllama,10,inquiry,"response:
yes, the n",False,3.3,2542.91
E2-accuracy,device1,tinyllama,11,complaint,complaint,True,3.65,2241.31
E2-accuracy,device1,tinyllama,12,complaint,complaint,True,3.64,2246.03
E2-accuracy,device1,tinyllama,13,complaint,complaint,True,3.24,2594.57
E2-accuracy,device1,tinyllama,14,complaint,"response:
the email ",False,3.38,2476.3
E2-accuracy,device1,tinyllama,15,complaint,"response:
the email ",False,3.85,2109.79
E2-accuracy,device1,tinyllama,16,complaint,complaint,True,3.4,2456.04
E2-accuracy,device1,tinyllama,17,complaint,"response:
catgoer: (",False,3.25,2629.66
E2-accuracy,device1,tinyllama,18,complaint,complaint,True,2.57,2392.33
E2-accuracy,device1,tinyllama,19,complaint,complaint,True,3.23,2659.97
E2-accuracy,device1,tinyllama,20,complaint,"response:
the email ",False,3.34,2547.32
E2-accuracy,device1,tinyllama,21,feedback,feedback,True,3.59,2354.56
E2-accuracy,device1,tinyllama,22,feedback,feedback,True,3.89,2119.73
E2-accuracy,device1,tinyllama,23,feedback,"response:
catgoer: t",False,3.75,2240.04
E2-accuracy,device1,tinyllama,24,feedback,"response:
thank you ",False,3.66,2305.8
