experiment,device,model,run,routed_model,path_executed,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,overhead_ratio,chain_completed,answer_correct,final_output,single_ram_mb,agent_ram_mb
E3,device1,tinyllama,1,mistral:7b,Multi-Agent,10.941,50,4.57,7655.05,19.4975,6.2782,6.5548,6.6635,1.7821,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1242.6,1253.3
E3,device1,tinyllama,2,mistral:7b,Multi-Agent,6.9913,50,7.15,4241.8,18.3737,5.788,5.9125,6.6727,2.6281,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1256.0,1259.9
E3,device1,tinyllama,3,mistral:7b,Multi-Agent,7.0137,50,7.13,4208.98,18.2828,5.8115,5.8865,6.584,2.6067,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1262.8,1262.4
E3,device1,tinyllama,4,mistral:7b,Multi-Agent,7.2427,50,6.9,4228.44,18.0323,5.7684,5.7755,6.4878,2.4897,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1262.4,1261.9
E3,device1,tinyllama,5,mistral:7b,Multi-Agent,6.9159,50,7.23,4140.22,18.5273,5.8767,5.9785,6.6713,2.6789,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1262.4,1264.8
E3,device1,tinyllama,6,mistral:7b,Multi-Agent,7.019,50,7.12,4213.95,18.1322,5.6447,5.9655,6.5215,2.5833,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1261.2,1265.8
E3,device1,tinyllama,7,mistral:7b,Multi-Agent,7.0023,50,7.14,4188.26,18.4869,5.9294,5.8267,6.7304,2.6401,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1266.8,1267.2
E3,device1,tinyllama,8,mistral:7b,Multi-Agent,7.8099,50,6.4,4190.6,113.3512,5.7583,53.4547,54.1362,14.5138,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1269.0,1271.1
E3,device1,tinyllama,9,mistral:7b,Multi-Agent,42.4727,50,1.18,12188.95,21.5047,5.8357,6.8778,8.7905,0.5063,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1268.1,1268.3
E3,device1,tinyllama,10,mistral:7b,Multi-Agent,6.7263,50,7.43,3876.4,17.657,5.3851,5.5063,6.7653,2.6251,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1269.3,1269.7
E3,device1,tinyllama,11,mistral:7b,Multi-Agent,6.711,50,7.45,3881.43,17.1204,5.2555,5.5601,6.3044,2.5511,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1268.8,1268.4
E3,device1,tinyllama,12,mistral:7b,Multi-Agent,6.4665,50,7.73,3728.06,17.2633,5.4065,5.4747,6.3817,2.6696,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1267.5,1302.5
E3,device1,tinyllama,13,mistral:7b,Multi-Agent,6.6321,50,7.54,3858.53,18.0622,6.106,5.6145,6.3409,2.7235,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1270.3,1274.2
E3,device1,tinyllama,14,mistral:7b,Multi-Agent,7.0449,50,7.1,3849.02,17.4758,5.4863,5.6018,6.3873,2.4806,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1273.2,1279.9
