experiment,device,model,sample_id,expected,predicted,correct,tokens_per_sec,ttft_ms
E2-accuracy,device1,tinyllama,1,inquiry,"response:
hi i am unable to provide",False,1.39,6497.14
E2-accuracy,device1,tinyllama,2,inquiry,"response:
sure! the email is a",False,3.68,2257.68
E2-accuracy,device1,tinyllama,3,inquiry,"response:
return policy: this email falls under",False,3.58,2317.55
E2-accuracy,device1,tinyllama,4,inquiry,"response:
based on the provided email",False,3.72,2137.7
E2-accuracy,device1,tinyllama,5,inquiry,"response:
the email is classified as a",False,2.46,2435.96
E2-accuracy,device1,tinyllama,6,inquiry,"response:
yes your payment of rs",False,2.25,2926.25
E2-accuracy,device1,tinyllama,7,inquiry,"response:
category: inquiry

thank",False,2.84,2606.81
E2-accuracy,device1,tinyllama,8,inquiry,"response:
the email is classified as a",False,3.37,2264.73
E2-accuracy,device1,tinyllama,9,inquiry,"response:
yes we do offer bulk disc",False,3.52,2229.33
E2-accuracy,device1,tinyllama,10,inquiry,"response:
yes the new 20",False,3.28,2481.95
E2-accuracy,device1,tinyllama,11,complaint,"response:
category: complaint

thank",False,2.99,2477.23
E2-accuracy,device1,tinyllama,12,complaint,"response:
category: complaint

thank",False,3.38,2440.73
E2-accuracy,device1,tinyllama,13,complaint,"response:
category: complaint

thank",False,2.97,2791.44
E2-accuracy,device1,tinyllama,14,complaint,"response:
the email is classified as an",False,2.65,2790.87
E2-accuracy,device1,tinyllama,15,complaint,"response:
the email is classified as an",False,2.78,2775.05
E2-accuracy,device1,tinyllama,16,complaint,"response:
category: complaint

i",False,2.41,3004.81
E2-accuracy,device1,tinyllama,17,complaint,"response:
catgoer: (sent",False,3.11,2753.65
E2-accuracy,device1,tinyllama,18,complaint,"response:
category: complaint",False,2.81,2147.17
E2-accuracy,device1,tinyllama,19,complaint,"response:
category: complaint

thank",False,2.72,3136.57
E2-accuracy,device1,tinyllama,20,complaint,"response:
the email has been classified as",False,2.77,2548.45
E2-accuracy,device1,tinyllama,21,feedback,"response:
thank you for your feedback! we",False,2.76,3104.79
E2-accuracy,device1,tinyllama,22,feedback,"response:
thank you for sharing your feedback!",False,3.81,2078.27
E2-accuracy,device1,tinyllama,23,feedback,"response:
catgoer: thank you for",False,3.29,2551.17
E2-accuracy,device1,tinyllama,24,feedback,"response:
thank you for your email we",False,3.68,2247.9
E2-accuracy,device1,tinyllama,25,feedback,"response:
sure! here's how",False,3.79,2170.18
E2-accuracy,device1,tinyllama,26,feedback,"response:
thank you for your feedback! we",False,3.41,2463.07
E2-accuracy,device1,tinyllama,27,feedback,"response:
catgoeries: inquiry",False,3.51,2383.66
E2-accuracy,device1,tinyllama,28,feedback,"response:
the email is classified as an",False,3.04,2390.13
E2-accuracy,device1,tinyllama,29,feedback,"response:
thank you for your feedback! we",False,3.31,2471.82
E2-accuracy,device1,tinyllama,30,feedback,"response:
category: complaint

thank",False,3.52,2154.55
E2-accuracy,device1,tinyllama,31,spam,response: congratulations! you have won a,False,2.86,2898.78
E2-accuracy,device1,tinyllama,32,spam,"response:
catgoer: thank you for",False,3.0,2401.7
E2-accuracy,device1,tinyllama,33,spam,"response:
category: inquiry

thank",False,3.85,2146.47
E2-accuracy,device1,tinyllama,34,spam,"response:
dear valued customer",False,2.82,2708.43
E2-accuracy,device1,tinyllama,35,spam,"response:
the email is classified as """,False,3.67,2194.08
E2-accuracy,device1,tinyllama,36,spam,"response:
categoary: inquiry",False,2.65,3170.93
E2-accuracy,device1,tinyllama,37,spam,"response:
category: complaint

thank",False,3.07,2755.98
E2-accuracy,device1,tinyllama,38,spam,"response:
catgoer: ""sure",False,2.76,2751.16
E2-accuracy,device1,tinyllama,39,spam,"response:
categoory: complaint",False,2.86,2917.94
E2-accuracy,device1,tinyllama,40,spam,"response:
categoary: investment",False,3.1,2776.02
E2-accuracy,device1,tinyllama,41,urgent,"response:
catgo: urgent: server",False,3.51,2395.93
E2-accuracy,device1,tinyllama,42,urgent,"response:
category: urgent

i",False,4.03,2026.51
E2-accuracy,device1,tinyllama,43,urgent,"response:
category: complaint

thank",False,3.41,2345.94
E2-accuracy,device1,tinyllama,44,urgent,"response:
categoory: complaint",False,2.97,2789.5
E2-accuracy,device1,tinyllama,45,urgent,"response:
catgoer: ""sure",False,3.54,2280.53
E2-accuracy,device1,tinyllama,46,urgent,"response:
categoory: complaint",False,3.48,2347.39
E2-accuracy,device1,tinyllama,47,urgent,"response:
categoary: inquiry",False,3.51,2373.04
E2-accuracy,device1,tinyllama,48,urgent,"response:
category: urgent

b",False,3.79,2182.19
E2-accuracy,device1,tinyllama,49,urgent,"response:
category: complaint

thank",False,3.43,2421.27
E2-accuracy,device1,tinyllama,50,urgent,"response:
categoory: critical bug",False,3.63,2267.78
E2-accuracy,device1,tinyllama,51,inquiry,"response:
category: inquiry

thank",False,3.11,2554.94
E2-accuracy,device1,tinyllama,52,inquiry,"response:
yes you can upgrade your current",False,4.14,1910.46
E2-accuracy,device1,tinyllama,53,complaint,"response:
the email has been classified as",False,3.66,2265.12
E2-accuracy,device1,tinyllama,54,complaint,"response:
the email has been classified as",False,3.95,2047.43
E2-accuracy,device1,tinyllama,55,feedback,"response:
the email is classified as """,False,3.76,2130.71
E2-accuracy,device1,tinyllama,56,feedback,"response:
thank you for your feedback! your",False,3.66,2253.73
E2-accuracy,device1,tinyllama,57,spam,"response:
category: complaint

thank",False,3.25,2595.83
E2-accuracy,device1,tinyllama,58,spam,response: congratulations! your email has been,False,3.12,2740.7
E2-accuracy,device1,tinyllama,59,urgent,"response:
catgoeries: urgent",False,3.56,2335.61
E2-accuracy,device1,tinyllama,60,urgent,"response:
categoory: complaint",False,3.15,2733.23
E2-accuracy,device1,tinyllama,61,inquiry,"response:
category: complaint

thank",False,3.57,2336.64
E2-accuracy,device1,tinyllama,62,inquiry,"response:
the email is classified as a",False,4.01,2034.39
E2-accuracy,device1,tinyllama,63,complaint,"response:
the email is a complaint",False,3.2,2676.72
E2-accuracy,device1,tinyllama,64,complaint,"response:
category: complaint

thank",False,3.6,2331.39
E2-accuracy,device1,tinyllama,65,feedback,"response:
thank you for your feedback we",False,3.36,2540.88
E2-accuracy,device1,tinyllama,66,feedback,"response:
the email has been classified as",False,3.95,2075.47
E2-accuracy,device1,tinyllama,67,spam,"response:
the email has been classified as",False,3.02,2848.98
E2-accuracy,device1,tinyllama,68,spam,response: thank you for your email the information,False,3.41,2510.25
E2-accuracy,device1,tinyllama,69,urgent,"response:
catgoer: urgent!",False,3.62,2322.59
E2-accuracy,device1,tinyllama,70,urgent,"response:
catgoer: ""thank you",False,3.21,2684.48
E2-accuracy,device1,tinyllama,71,inquiry,"response:
yes we accept both contactless",False,3.77,2206.79
E2-accuracy,device1,tinyllama,72,inquiry,"response:
based on the provided email",False,3.79,2202.22
E2-accuracy,device1,tinyllama,73,complaint,"response:
the email has been classified as",False,3.79,2197.01
E2-accuracy,device1,tinyllama,74,complaint,"response:
the email is classified as an",False,3.59,2346.09
E2-accuracy,device1,tinyllama,75,feedback,"response:
category: complaint

thank",False,3.6,2350.88
E2-accuracy,device1,tinyllama,76,feedback,"response:
thank you for bringing this to our",False,3.28,2618.02
E2-accuracy,device1,tinyllama,77,spam,"response:
categoory: complaint",False,2.98,2921.67
E2-accuracy,device1,tinyllama,78,spam,"response:
the email has been classified as",False,3.37,2542.11
E2-accuracy,device1,tinyllama,79,urgent,"response:
catgoeries: inquiry",False,3.22,2655.33
E2-accuracy,device1,tinyllama,80,urgent,"response:
categoary: inquiry",False,3.34,2552.08
E2-accuracy,device1,tinyllama,81,inquiry,"response:
yes our restaurant caters for",False,3.77,2214.09
E2-accuracy,device1,tinyllama,82,inquiry,"response:
category: complaint

thank",False,3.7,2265.76
E2-accuracy,device1,tinyllama,83,complaint,"response:
category: complaint

thank",False,3.69,2275.87
E2-accuracy,device1,tinyllama,84,complaint,"response:
category: complaint

thank",False,3.67,2290.44
E2-accuracy,device1,tinyllama,85,feedback,"response:
thank you for your feedback! we",False,3.81,2173.5
E2-accuracy,device1,tinyllama,86,feedback,"response:
the email you sent contains information about",False,3.71,2241.11
E2-accuracy,device1,tinyllama,87,spam,"response:
categoary: ""inqu",False,3.21,2680.03
E2-accuracy,device1,tinyllama,88,spam,"response:
category: complaint

b",False,3.17,2714.31
E2-accuracy,device1,tinyllama,89,urgent,"response:
catgoer: urgent:",False,3.41,2498.01
E2-accuracy,device1,tinyllama,90,urgent,"response:
categoary: inquiry",False,3.43,2485.88
E2-accuracy,device1,tinyllama,91,inquiry,"response:
thank you for your email which",False,2.96,2921.42
E2-accuracy,device1,tinyllama,92,inquiry,"response:
yes we do have a student",False,3.83,2179.31
E2-accuracy,device1,tinyllama,93,complaint,"response:
the email has been classified as",False,3.84,2147.15
E2-accuracy,device1,tinyllama,94,complaint,"response:
category: complaint

thank",False,3.65,2302.07
E2-accuracy,device1,tinyllama,95,feedback,"response:
thank you for your email! the",False,3.86,2156.69
E2-accuracy,device1,tinyllama,96,feedback,"response: ""inquiry""",False,2.42,2538.95
E2-accuracy,device1,tinyllama,97,spam,"response:
categoary: inquiry",False,3.38,2507.42
E2-accuracy,device1,tinyllama,98,spam,"response:
category: inquiry",False,3.39,2509.0
E2-accuracy,device1,tinyllama,99,urgent,"response:
catgoeries: inquiry",False,3.23,2644.98
E2-accuracy,device1,tinyllama,100,urgent,"response:
category: urgent

lock",False,3.31,2581.22
E2-accuracy,device1,tinyllama-q5,1,inquiry,"response:
categoory: complaint",False,1.83,4962.38
E2-accuracy,device1,tinyllama-q5,2,inquiry,"response:
sure! based on the provided",False,4.72,1600.2
E2-accuracy,device1,tinyllama-q5,3,inquiry,"response: ""return policy""

this email",False,4.37,1767.32
E2-accuracy,device1,tinyllama-q5,4,inquiry,"response:
the email is a complaint and",False,4.56,1634.78
E2-accuracy,device1,tinyllama-q5,5,inquiry,response: the email is a complaint and should,False,4.56,1683.82
E2-accuracy,device1,tinyllama-q5,6,inquiry,response: yes your payment of rs,False,4.69,1514.97
E2-accuracy,device1,tinyllama-q5,7,inquiry,"response:
according to the provided email",False,4.77,1526.77
E2-accuracy,device1,tinyllama-q5,8,inquiry,"response:
the email is classified as a",False,4.97,1477.81
E2-accuracy,device1,tinyllama-q5,9,inquiry,"response:
bulk discounts for orders",False,4.71,1507.51
E2-accuracy,device1,tinyllama-q5,10,inquiry,response: the email is classified as an inqu,False,3.83,2064.77
E2-accuracy,device1,tinyllama-q5,11,complaint,"response:
the email is classified as a",False,4.67,1603.39
E2-accuracy,device1,tinyllama-q5,12,complaint,"response: ""this email falls into the 'comp",False,4.73,1543.98
E2-accuracy,device1,tinyllama-q5,13,complaint,"response:
the email is classified as a",False,4.08,1817.09
E2-accuracy,device1,tinyllama-q5,14,complaint,"response: ""inquiry""

this",False,3.96,1925.17
E2-accuracy,device1,tinyllama-q5,15,complaint,"response:
this email is classified as an",False,4.85,1511.2
E2-accuracy,device1,tinyllama-q5,16,complaint,"response:
according to the provided email",False,3.2,1928.39
E2-accuracy,device1,tinyllama-q5,17,complaint,"response:
according to the provided email",False,3.31,2446.39
E2-accuracy,device1,tinyllama-q5,18,complaint,"response: ""inquiry""

this",False,4.18,1767.19
