experiment,device,model,sample_id,expected,predicted,correct,tokens_per_sec,ttft_ms
E2-accuracy,device3,tinyllama,1,inquiry,"response:
hi i am unable to provide",False,3.8,2563.88
E2-accuracy,device3,tinyllama,2,inquiry,"response:
sure! the email is a",False,89.57,48.09
E2-accuracy,device3,tinyllama,3,inquiry,"response:
return policy: this email falls under",False,92.51,46.09
E2-accuracy,device3,tinyllama,4,inquiry,"response:
based on the provided email and",False,95.45,44.68
E2-accuracy,device3,tinyllama,5,inquiry,"response:
the email is a complaint and",False,93.77,44.43
E2-accuracy,device3,tinyllama,6,inquiry,"response:
yes your payment of rs",False,93.53,44.87
E2-accuracy,device3,tinyllama,7,inquiry,"response:
yes the email falls under the",False,95.95,42.76
E2-accuracy,device3,tinyllama,8,inquiry,"response:
the email is classified as a",False,96.85,42.1
E2-accuracy,device3,tinyllama,9,inquiry,"response:
yes we do offer bulk disc",False,94.7,43.99
E2-accuracy,device3,tinyllama,10,inquiry,"response:
yes the new 20",False,89.15,51.74
E2-accuracy,device3,tinyllama,11,complaint,"response:
the email is classified as a",False,94.61,43.72
E2-accuracy,device3,tinyllama,12,complaint,"response:
category: complaint

thank",True,96.48,42.77
E2-accuracy,device3,tinyllama,13,complaint,"response:
the email is classified as a",False,94.63,44.68
E2-accuracy,device3,tinyllama,14,complaint,"response:
the email is classified as an",False,93.38,45.29
E2-accuracy,device3,tinyllama,15,complaint,"response:
the email is classified as an",False,96.51,43.06
E2-accuracy,device3,tinyllama,16,complaint,"response:
category: complaint

i",True,96.69,43.98
E2-accuracy,device3,tinyllama,17,complaint,"response:
the email has been classified as",False,93.58,45.7
E2-accuracy,device3,tinyllama,18,complaint,"response:
the email has been classified as",False,95.26,43.61
E2-accuracy,device3,tinyllama,19,complaint,"response:
category: complaint

thank",True,93.41,44.79
E2-accuracy,device3,tinyllama,20,complaint,"response:
category: complaint

thank",True,94.14,45.19
E2-accuracy,device3,tinyllama,21,feedback,"response:
thank you for your feedback! we",True,97.77,41.51
E2-accuracy,device3,tinyllama,22,feedback,"response:
thank you for sharing your feedback!",True,94.84,42.87
E2-accuracy,device3,tinyllama,23,feedback,"response:
catgoeries: inquiry",False,92.36,45.81
E2-accuracy,device3,tinyllama,24,feedback,"response:
thank you for your email we",False,95.72,43.57
E2-accuracy,device3,tinyllama,25,feedback,"response:
sure! here's how",False,93.26,46.39
E2-accuracy,device3,tinyllama,26,feedback,"response:
thank you for your feedback! we",True,94.27,44.92
E2-accuracy,device3,tinyllama,27,feedback,"response:
catgoeries: inquiry",False,94.66,43.92
E2-accuracy,device3,tinyllama,28,feedback,"response:
thank you for your email the",False,95.88,42.76
E2-accuracy,device3,tinyllama,29,feedback,"response:
thank you for your feedback! we",True,94.56,44.36
E2-accuracy,device3,tinyllama,30,feedback,"response:
category: complaint

thank",False,95.59,43.19
E2-accuracy,device3,tinyllama,31,spam,"response: category: complaint

email:",False,93.13,45.38
E2-accuracy,device3,tinyllama,32,spam,"response:
catgoir: urg",False,92.35,45.08
E2-accuracy,device3,tinyllama,33,spam,"response:
category: inquiry

thank",False,94.4,45.42
E2-accuracy,device3,tinyllama,34,spam,"response:
dear valued customer",False,95.88,44.09
E2-accuracy,device3,tinyllama,35,spam,"response:
the email is classified as """,False,94.43,45.04
E2-accuracy,device3,tinyllama,36,spam,"response:
act now! government grant of",False,93.1,47.31
E2-accuracy,device3,tinyllama,37,spam,"response:
category: complaint

thank",False,94.05,44.59
E2-accuracy,device3,tinyllama,38,spam,"response:
catgoer: (smiling",False,92.88,46.24
E2-accuracy,device3,tinyllama,39,spam,"response:
categoory: complaint",False,93.63,46.42
E2-accuracy,device3,tinyllama,40,spam,"response:
categoary: investment",False,95.6,44.63
E2-accuracy,device3,tinyllama,41,urgent,"response:
catgo: urgent: server",True,93.39,44.62
E2-accuracy,device3,tinyllama,42,urgent,"response:
category: complaint

b",False,94.82,42.85
E2-accuracy,device3,tinyllama,43,urgent,"response:
category: complaint

thank",False,95.26,42.73
E2-accuracy,device3,tinyllama,44,urgent,"response:
categoory: complaint",False,96.32,43.64
E2-accuracy,device3,tinyllama,45,urgent,"response:
catgoer: ""sure",False,94.91,45.36
E2-accuracy,device3,tinyllama,46,urgent,"response:
legal notice received from regulatory",False,95.0,44.92
E2-accuracy,device3,tinyllama,47,urgent,"response:
categoary: inquiry",False,94.09,43.76
E2-accuracy,device3,tinyllama,48,urgent,"response:
category: urgent

b",True,95.24,43.78
E2-accuracy,device3,tinyllama,49,urgent,"response:
category: complaint

thank",False,94.54,44.31
E2-accuracy,device3,tinyllama,50,urgent,"response:
categoory: urgent",True,96.64,42.6
E2-accuracy,device3,tinyllama,51,inquiry,"response:
category: inquiry

thank",True,95.34,43.98
E2-accuracy,device3,tinyllama,52,inquiry,"response:
yes you can upgrade your current",False,96.05,43.01
E2-accuracy,device3,tinyllama,53,complaint,"response:
the email has been classified as",False,92.37,48.09
E2-accuracy,device3,tinyllama,54,complaint,"response:
the email has been classified as",False,96.04,43.64
E2-accuracy,device3,tinyllama,55,feedback,"response:
the email is classified as """,False,95.58,43.66
E2-accuracy,device3,tinyllama,56,feedback,"response:
thank you for your feedback! your",True,95.25,44.06
E2-accuracy,device3,tinyllama,57,spam,"response:
category: complaint

thank",False,93.13,45.69
E2-accuracy,device3,tinyllama,58,spam,response: congratulations! your email has been,False,95.0,44.19
E2-accuracy,device3,tinyllama,59,urgent,"response:
catgoeries: urgent",True,93.32,44.52
E2-accuracy,device3,tinyllama,60,urgent,"response:
the email is classified as a",False,94.86,44.39
E2-accuracy,device3,tinyllama,61,inquiry,"response:
category: complaint

thank",False,93.29,45.37
E2-accuracy,device3,tinyllama,62,inquiry,"response:
the email is classified as a",False,96.63,44.0
E2-accuracy,device3,tinyllama,63,complaint,"response:
the email is a complaint",True,91.5,47.57
E2-accuracy,device3,tinyllama,64,complaint,"response:
the email is classified as an",False,95.33,44.11
E2-accuracy,device3,tinyllama,65,feedback,"response:
thank you for your feedback we",True,94.0,44.33
E2-accuracy,device3,tinyllama,66,feedback,"response:
the email has been classified as",False,94.49,44.26
E2-accuracy,device3,tinyllama,67,spam,"response:
the email has been classified as",False,90.19,50.36
E2-accuracy,device3,tinyllama,68,spam,response: thank you for your email the information,False,94.4,45.5
E2-accuracy,device3,tinyllama,69,urgent,"response:
catgoer: urgent!",True,94.43,44.51
E2-accuracy,device3,tinyllama,70,urgent,"response:
categoary: complaint",False,94.53,44.62
E2-accuracy,device3,tinyllama,71,inquiry,"response:
yes we accept both contactless",False,94.09,45.34
E2-accuracy,device3,tinyllama,72,inquiry,"response:
based on the provided email",False,94.7,45.46
E2-accuracy,device3,tinyllama,73,complaint,"response:
the email has been classified as",False,96.68,43.24
E2-accuracy,device3,tinyllama,74,complaint,"response:
the email is classified as an",False,93.77,44.58
E2-accuracy,device3,tinyllama,75,feedback,"response:
category: complaint

thank",False,95.4,43.47
E2-accuracy,device3,tinyllama,76,feedback,"response:
thank you for providing us with this",False,93.07,45.85
E2-accuracy,device3,tinyllama,77,spam,"response:
categoary: inquiry",False,93.31,46.0
