experiment,device,model,run,routed_model,path_executed,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,overhead_ratio,chain_completed,answer_correct,final_output,single_ram_mb,agent_ram_mb
E3,device1,tinyllama,1,mistral:7b,Multi-Agent,12.9222,50,3.87,3446.52,21.2886,7.3461,7.0795,6.8603,1.6474,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1283.9,1292.1
E3,device1,tinyllama,2,mistral:7b,Multi-Agent,7.1097,50,7.03,3852.06,17.2136,5.6583,5.4718,6.0828,2.4211,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1292.4,1294.8
E3,device1,tinyllama,3,mistral:7b,Multi-Agent,6.8747,50,7.27,4179.36,18.5564,5.8774,5.7993,6.8793,2.6992,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1294.8,1294.6
E3,device1,tinyllama,4,mistral:7b,Multi-Agent,7.0199,50,7.12,4265.08,16.6476,4.8826,5.2216,6.5431,2.3715,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1293.0,1297.4
E3,device1,tinyllama,5,mistral:7b,Multi-Agent,6.888,50,7.26,4209.48,18.3772,5.8533,5.9076,6.616,2.668,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1298.1,1298.3
E3,device1,tinyllama,6,mistral:7b,Multi-Agent,6.9721,50,7.17,4277.53,18.2893,5.8902,5.839,6.5598,2.6232,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1297.3,1297.1
E3,device1,tinyllama,7,mistral:7b,Multi-Agent,6.9048,50,7.24,4237.92,18.4316,5.85,5.9983,6.5825,2.6694,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1295.8,1298.0
E3,device1,tinyllama,8,mistral:7b,Multi-Agent,6.8754,50,7.27,4216.11,18.4512,5.7446,6.0431,6.6631,2.6837,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1299.0,1302.7
E3,device1,tinyllama,9,mistral:7b,Multi-Agent,7.2154,50,6.93,4284.6,18.2424,5.8361,5.8686,6.5374,2.5283,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1303.1,1305.3
E3,device1,tinyllama,10,mistral:7b,Multi-Agent,6.9633,50,7.18,4280.41,18.1739,5.7898,5.7783,6.6054,2.61,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1299.3,1301.0
E3,device1,tinyllama,11,mistral:7b,Multi-Agent,7.1576,50,6.99,4290.79,18.0546,5.7733,5.7662,6.5147,2.5224,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1299.3,1299.5
E3,device1,tinyllama,12,mistral:7b,Multi-Agent,7.9387,50,6.3,4214.75,24.0797,11.0081,6.4057,6.6656,3.0332,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1300.0,1302.4
E3,device1,tinyllama,13,mistral:7b,Multi-Agent,6.8786,50,7.27,4234.41,18.2743,5.8054,5.9222,6.5463,2.6567,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1302.0,1300.7
E3,device1,tinyllama,14,mistral:7b,Multi-Agent,7.0346,50,7.11,4343.4,18.3062,5.7872,5.9009,6.6177,2.6023,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1297.2,1299.0
E3,device1,tinyllama,15,mistral:7b,Multi-Agent,7.0047,50,7.14,4244.77,18.4552,5.8452,6.0734,6.5361,2.6347,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1301.4,1301.9
E3,device1,tinyllama,16,mistral:7b,Multi-Agent,6.9937,50,7.15,4321.21,18.277,5.7777,5.8826,6.6162,2.6133,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1301.7,1302.2
E3,device1,tinyllama,17,mistral:7b,Multi-Agent,6.9145,50,7.23,4229.1,18.3717,5.7024,5.9025,6.7664,2.657,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1299.0,1303.9
E3,device1,tinyllama,18,mistral:7b,Multi-Agent,6.915,50,7.23,4243.03,18.2601,5.8161,5.8102,6.6332,2.6407,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1303.3,1304.5
E3,device1,tinyllama,19,mistral:7b,Multi-Agent,7.0192,50,7.12,4266.46,18.1008,5.7374,5.9042,6.4588,2.5788,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1305.8,1305.3
E3,device1,tinyllama,20,mistral:7b,Multi-Agent,6.8572,50,7.29,4206.87,18.4737,6.0423,5.824,6.607,2.6941,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1305.3,1305.0
E3,device1,tinyllama,21,mistral:7b,Multi-Agent,6.9114,50,7.23,4266.8,18.1142,5.7642,5.8251,6.5243,2.6209,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1302.0,1308.4
E3,device1,tinyllama,22,mistral:7b,Multi-Agent,6.9837,50,7.16,4264.97,17.9592,5.7317,5.7842,6.4425,2.5716,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1304.2,1306.1
