experiment,device,model,sample_id,expected,predicted,correct,tokens_per_sec,ttft_ms
E2-accuracy,device2,tinyllama,1,inquiry,"response:
hi i am unable to provide",False,3.43,2633.33
E2-accuracy,device2,tinyllama,2,inquiry,"response:
sure! the email is a",False,10.18,713.42
E2-accuracy,device2,tinyllama,3,inquiry,"response:
return policy: this email falls under",False,9.94,739.36
E2-accuracy,device2,tinyllama,4,inquiry,"response:
based on the provided email",False,10.93,650.56
E2-accuracy,device2,tinyllama,5,inquiry,"response:
the email is classified as a",False,10.58,684.42
E2-accuracy,device2,tinyllama,6,inquiry,"response:
yes your payment of rs",False,10.45,692.56
E2-accuracy,device2,tinyllama,7,inquiry,"response:
category: inquiry

thank",True,11.32,620.47
E2-accuracy,device2,tinyllama,8,inquiry,"response:
the email is classified as a",False,10.98,646.93
E2-accuracy,device2,tinyllama,9,inquiry,"response:
yes we do offer bulk disc",False,11.19,627.5
E2-accuracy,device2,tinyllama,10,inquiry,"response:
yes the new 20",False,9.77,760.87
E2-accuracy,device2,tinyllama,11,complaint,"response:
category: complaint

thank",True,11.04,642.94
E2-accuracy,device2,tinyllama,12,complaint,"response:
category: complaint

thank",True,10.95,652.54
E2-accuracy,device2,tinyllama,13,complaint,"response:
category: complaint

thank",True,9.83,756.47
E2-accuracy,device2,tinyllama,14,complaint,"response:
the email is classified as an",False,10.07,729.46
E2-accuracy,device2,tinyllama,15,complaint,"response:
the email is classified as an",False,11.13,637.64
E2-accuracy,device2,tinyllama,16,complaint,"response:
category: complaint

i",True,10.27,707.86
E2-accuracy,device2,tinyllama,17,complaint,"response:
catgoer: (sent",False,9.52,787.76
E2-accuracy,device2,tinyllama,18,complaint,"response:
category: complaint",True,7.68,707.29
E2-accuracy,device2,tinyllama,19,complaint,"response:
category: complaint

thank",True,9.36,795.09
E2-accuracy,device2,tinyllama,20,complaint,"response:
the email has been classified as",False,9.77,759.16
E2-accuracy,device2,tinyllama,21,feedback,"response:
thank you for your feedback! we",True,10.39,694.32
E2-accuracy,device2,tinyllama,22,feedback,"response:
thank you for sharing your feedback!",True,10.98,633.19
E2-accuracy,device2,tinyllama,23,feedback,"response:
catgoer: thank you for",False,10.72,667.5
E2-accuracy,device2,tinyllama,24,feedback,"response:
thank you for your email we",False,10.63,671.35
E2-accuracy,device2,tinyllama,25,feedback,"response:
sure! here's how",False,10.97,646.84
E2-accuracy,device2,tinyllama,26,feedback,"response:
thank you for your feedback! we",True,10.04,725.11
E2-accuracy,device2,tinyllama,27,feedback,"response:
catgoeries: inquiry",False,9.9,735.08
E2-accuracy,device2,tinyllama,28,feedback,"response:
the email is classified as an",False,11.21,622.5
E2-accuracy,device2,tinyllama,29,feedback,"response:
thank you for your feedback! we",True,10.52,680.03
E2-accuracy,device2,tinyllama,30,feedback,"response:
category: complaint

thank",False,11.62,587.65
E2-accuracy,device2,tinyllama,31,spam,response: congratulations! you have won a,False,9.13,821.9
E2-accuracy,device2,tinyllama,32,spam,"response:
catgoer: thank you for",False,9.44,785.05
E2-accuracy,device2,tinyllama,33,spam,"response:
category: inquiry

thank",False,10.26,689.42
E2-accuracy,device2,tinyllama,34,spam,"response:
dear valued customer",False,7.94,953.68
E2-accuracy,device2,tinyllama,35,spam,"response:
the email is classified as """,False,9.62,737.41
E2-accuracy,device2,tinyllama,36,spam,"response:
categoary: inquiry",False,8.6,886.76
E2-accuracy,device2,tinyllama,37,spam,"response:
category: complaint

thank",False,9.0,836.11
E2-accuracy,device2,tinyllama,38,spam,"response:
catgoer: ""sure",False,9.51,778.08
E2-accuracy,device2,tinyllama,39,spam,"response:
categoory: complaint",False,8.76,863.67
E2-accuracy,device2,tinyllama,40,spam,"response:
categoary: investment",False,8.57,888.68
E2-accuracy,device2,tinyllama,41,urgent,"response:
catgo: urgent: server",True,9.51,765.83
E2-accuracy,device2,tinyllama,42,urgent,"response:
category: urgent

i",True,10.45,682.74
E2-accuracy,device2,tinyllama,43,urgent,"response:
category: complaint

thank",False,10.28,702.43
E2-accuracy,device2,tinyllama,44,urgent,"response:
categoory: complaint",False,8.8,862.37
E2-accuracy,device2,tinyllama,45,urgent,"response:
catgoer: ""sure",False,10.58,669.35
E2-accuracy,device2,tinyllama,46,urgent,"response:
categoory: complaint",False,9.84,738.74
E2-accuracy,device2,tinyllama,47,urgent,"response:
categoary: inquiry",False,10.07,719.3
E2-accuracy,device2,tinyllama,48,urgent,"response:
category: urgent

b",True,10.59,668.03
E2-accuracy,device2,tinyllama,49,urgent,"response:
category: complaint

thank",False,9.57,772.86
E2-accuracy,device2,tinyllama,50,urgent,"response:
categoory: critical bug",False,10.09,716.55
E2-accuracy,device2,tinyllama,51,inquiry,"response:
category: inquiry

thank",True,9.86,729.45
E2-accuracy,device2,tinyllama,52,inquiry,"response:
yes you can upgrade your current",False,11.75,577.42
E2-accuracy,device2,tinyllama,53,complaint,"response:
the email has been classified as",False,9.75,753.47
E2-accuracy,device2,tinyllama,54,complaint,"response:
the email has been classified as",False,11.01,629.29
E2-accuracy,device2,tinyllama,55,feedback,"response:
the email is classified as """,False,10.01,722.15
E2-accuracy,device2,tinyllama,56,feedback,"response:
thank you for your feedback! your",True,8.81,783.44
E2-accuracy,device2,tinyllama,57,spam,"response:
category: complaint

thank",False,7.76,996.81
E2-accuracy,device2,tinyllama,58,spam,response: congratulations! your email has been,False,8.07,958.5
E2-accuracy,device2,tinyllama,59,urgent,"response:
catgoeries: urgent",True,9.61,756.47
E2-accuracy,device2,tinyllama,60,urgent,"response:
categoory: complaint",False,8.27,926.71
E2-accuracy,device2,tinyllama,61,inquiry,"response:
category: complaint

thank",False,9.78,737.27
E2-accuracy,device2,tinyllama,62,inquiry,"response:
the email is classified as a",False,10.91,641.41
E2-accuracy,device2,tinyllama,63,complaint,"response:
the email is a complaint",True,8.61,881.57
E2-accuracy,device2,tinyllama,64,complaint,"response:
category: complaint

thank",True,9.63,755.4
E2-accuracy,device2,tinyllama,65,feedback,"response:
thank you for your feedback we",True,8.9,831.74
E2-accuracy,device2,tinyllama,66,feedback,"response:
the email has been classified as",False,10.45,650.31
E2-accuracy,device2,tinyllama,67,spam,"response:
the email has been classified as",False,8.14,943.67
E2-accuracy,device2,tinyllama,68,spam,response: thank you for your email the information,False,9.35,782.13
E2-accuracy,device2,tinyllama,69,urgent,"response:
catgoer: urgent!",True,9.8,731.54
E2-accuracy,device2,tinyllama,70,urgent,"response:
catgoer: ""thank you",False,8.83,840.78
