experiment,device,model,sample_id,expected,predicted,correct,tokens_per_sec,ttft_ms
E2-accuracy,device3,tinyllama,1,inquiry,"response:
hi, i am u",False,8.03,990.64
E2-accuracy,device3,tinyllama,2,inquiry,"response:
sure! the ",False,12.56,521.8
E2-accuracy,device3,tinyllama,3,inquiry,"response:
return pol",False,13.71,508.62
E2-accuracy,device3,tinyllama,4,inquiry,"response:
based on t",False,14.43,467.62
E2-accuracy,device3,tinyllama,5,inquiry,complaint,False,15.3,425.93
E2-accuracy,device3,tinyllama,6,inquiry,"response:
yes, your ",False,13.6,501.69
E2-accuracy,device3,tinyllama,7,inquiry,inquiry,True,16.17,385.05
E2-accuracy,device3,tinyllama,8,inquiry,"response:
the email ",False,14.43,461.49
E2-accuracy,device3,tinyllama,9,inquiry,"response:
yes, we do",False,15.08,438.6
E2-accuracy,device3,tinyllama,10,inquiry,"response:
yes, the n",False,13.15,497.75
E2-accuracy,device3,tinyllama,11,complaint,complaint,True,13.95,477.13
E2-accuracy,device3,tinyllama,12,complaint,complaint,True,14.07,491.77
E2-accuracy,device3,tinyllama,13,complaint,"response:
the email ",False,14.43,476.03
E2-accuracy,device3,tinyllama,14,complaint,"response:
the email ",False,13.67,480.58
E2-accuracy,device3,tinyllama,15,complaint,"response:
the email ",False,15.03,436.96
E2-accuracy,device3,tinyllama,16,complaint,complaint,True,12.63,542.98
E2-accuracy,device3,tinyllama,17,complaint,"response:
the email ",False,13.24,512.93
E2-accuracy,device3,tinyllama,18,complaint,"response:
the email ",False,14.75,442.88
E2-accuracy,device3,tinyllama,19,complaint,complaint,True,13.06,547.76
E2-accuracy,device3,tinyllama,20,complaint,"response:
the email ",False,13.44,517.57
E2-accuracy,device3,tinyllama,21,feedback,feedback,True,14.46,468.3
E2-accuracy,device3,tinyllama,22,feedback,feedback,True,15.44,390.43
E2-accuracy,device3,tinyllama,23,feedback,"response:
catgoer: t",False,13.26,470.78
E2-accuracy,device3,tinyllama,24,feedback,"response:
thank you ",False,12.75,530.24
E2-accuracy,device3,tinyllama,25,feedback,"response:
sure! here",False,14.69,458.93
E2-accuracy,device3,tinyllama,26,feedback,feedback,True,13.24,524.58
E2-accuracy,device3,tinyllama,27,feedback,"response:
catgoer: t",False,13.36,527.14
E2-accuracy,device3,tinyllama,28,feedback,"response:
the email ",False,15.96,410.29
E2-accuracy,device3,tinyllama,29,feedback,feedback,True,14.3,477.86
E2-accuracy,device3,tinyllama,30,feedback,complaint,False,15.13,419.55
E2-accuracy,device3,tinyllama,31,spam,complaint,False,11.91,598.88
E2-accuracy,device3,tinyllama,32,spam,"response:
catgoer: t",False,13.89,501.98
E2-accuracy,device3,tinyllama,33,spam,inquiry,False,13.94,494.5
E2-accuracy,device3,tinyllama,34,spam,"response:
dear value",False,13.05,541.68
E2-accuracy,device3,tinyllama,35,spam,"response:
the email ",False,13.39,527.13
E2-accuracy,device3,tinyllama,36,spam,inquiry,False,12.3,558.74
E2-accuracy,device3,tinyllama,37,spam,"response:
catgoer: t",False,13.58,512.25
E2-accuracy,device3,tinyllama,38,spam,"response:
catgoer: """,False,12.27,555.74
E2-accuracy,device3,tinyllama,39,spam,"response:
catgoer: t",False,11.32,637.79
E2-accuracy,device3,tinyllama,40,spam,"response:
categoary:",False,11.59,629.01
E2-accuracy,device3,tinyllama,41,urgent,urgent,True,12.77,553.46
E2-accuracy,device3,tinyllama,42,urgent,complaint,False,13.87,482.47
E2-accuracy,device3,tinyllama,43,urgent,complaint,False,13.78,501.06
E2-accuracy,device3,tinyllama,44,urgent,complaint,False,11.96,580.15
E2-accuracy,device3,tinyllama,45,urgent,"response:
catgoer: """,False,14.15,481.13
E2-accuracy,device3,tinyllama,46,urgent,complaint,False,13.08,541.78
E2-accuracy,device3,tinyllama,47,urgent,inquiry,False,13.59,512.78
E2-accuracy,device3,tinyllama,48,urgent,urgent,True,13.68,508.94
E2-accuracy,device3,tinyllama,49,urgent,complaint,False,13.75,506.65
E2-accuracy,device3,tinyllama,50,urgent,urgent,True,13.96,491.31
E2-accuracy,device3,tinyllama,51,inquiry,inquiry,True,12.74,558.49
E2-accuracy,device3,tinyllama,52,inquiry,"response:
yes, you c",False,14.52,449.51
E2-accuracy,device3,tinyllama,53,complaint,"response:
the email ",False,12.65,560.18
E2-accuracy,device3,tinyllama,54,complaint,"response:
the email ",False,14.9,447.11
E2-accuracy,device3,tinyllama,55,feedback,"response:
the email ",False,13.29,525.61
E2-accuracy,device3,tinyllama,56,feedback,complaint,False,13.24,529.16
E2-accuracy,device3,tinyllama,57,spam,complaint,False,11.91,613.61
E2-accuracy,device3,tinyllama,58,spam,response: congratula,False,11.6,609.55
E2-accuracy,device3,tinyllama,59,urgent,urgent,True,12.79,538.28
