experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,answer_correct,final_output,single_ram_mb,agent_ram_mb
E3,device1,tinyllama,1,10.5843,50,4.72,6563.67,20.9698,5.7185,6.4647,8.7857,31.7529,0.6604,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1255.8,1264.3
E3,device1,tinyllama,2,7.809,50,6.4,3959.89,18.4562,5.7724,5.8735,6.8097,23.427,0.7878,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1263.9,1265.1
E3,device1,tinyllama,3,7.0924,50,7.05,3830.75,20.7658,5.6356,5.8196,9.3096,21.2772,0.976,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1264.1,1267.8
E3,device1,tinyllama,4,7.2901,50,6.86,3957.71,18.9712,6.0873,5.8704,7.013,21.8703,0.8674,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1265.3,1268.0
E3,device1,tinyllama,5,6.9587,50,7.19,3808.5,18.4727,5.8597,5.7489,6.8636,20.8761,0.8849,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1267.1,1268.6
E3,device1,tinyllama,6,7.2909,50,6.86,3755.43,18.7373,5.8904,6.0436,6.8028,21.8727,0.8567,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1269.0,1268.1
E3,device1,tinyllama,7,6.8456,50,7.3,3685.4,18.1009,5.5451,5.4564,7.0987,20.5368,0.8814,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1267.9,1269.8
E3,device1,tinyllama,8,7.2072,50,6.94,3757.13,18.4272,5.7478,5.92,6.7589,21.6216,0.8523,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1271.0,1273.6
E3,device1,tinyllama,9,7.1174,50,7.03,3815.01,17.9792,5.624,5.6464,6.7083,21.3522,0.842,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1271.4,1273.2
E3,device1,tinyllama,10,7.02,50,7.12,3822.76,17.8692,5.5683,5.6035,6.697,21.06,0.8485,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1270.9,1271.9
E3,device1,tinyllama,11,6.7984,50,7.35,3696.44,18.7936,5.5994,5.7187,7.475,20.3952,0.9215,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1269.9,1273.3
E3,device1,tinyllama,12,6.9891,50,7.15,3842.6,23.6372,7.2108,8.7432,7.6826,20.9673,1.1273,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1272.5,1273.5
E3,device1,tinyllama,13,8.2324,50,6.07,4309.59,18.4629,5.9804,5.8104,6.6713,24.6972,0.7476,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1270.7,1274.9
E3,device1,tinyllama,14,7.0216,50,7.12,3815.82,18.2348,5.7676,5.7292,6.7375,21.0648,0.8657,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1273.4,1275.6
E3,device1,tinyllama,15,7.0897,50,7.05,3768.76,18.1638,5.5616,5.7084,6.8931,21.2691,0.854,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1276.8,1277.7
E3,device1,tinyllama,16,7.08,50,7.06,3945.57,18.2613,5.5849,5.598,7.0775,21.24,0.8598,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1276.5,1278.7
E3,device1,tinyllama,17,7.0554,50,7.09,3802.97,18.5055,5.7067,5.7323,7.066,21.1662,0.8743,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1273.6,1274.8
E3,device1,tinyllama,18,6.9277,50,7.22,3765.07,18.2208,5.5358,5.9497,6.7344,20.7831,0.8767,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1274.5,1275.9
E3,device1,tinyllama,19,7.0093,50,7.13,3777.39,22.9398,5.6984,8.8096,8.4314,21.0279,1.0909,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1276.4,1280.6
E3,device1,tinyllama,20,6.854,50,7.29,3724.52,18.8098,5.5293,6.5123,6.7671,20.562,0.9148,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1279.4,1278.8
E3,device1,tinyllama,21,8.8887,50,5.63,5024.04,19.3418,6.3626,5.9035,7.0751,26.6661,0.7253,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1279.2,1281.7
E3,device1,tinyllama,22,7.3938,50,6.76,3912.53,18.3592,5.8883,5.6053,6.8651,22.1814,0.8277,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1281.7,1279.3
E3,device1,tinyllama,23,6.9627,50,7.18,3877.78,17.9282,5.7012,5.5443,6.6819,20.8881,0.8583,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1276.1,1279.7
E3,device1,tinyllama,24,6.922,50,7.22,3732.07,18.229,5.9203,5.5783,6.73,20.766,0.8778,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1277.7,1283.3
E3,device1,tinyllama,25,6.9401,50,7.2,3722.51,17.8915,5.8965,5.6088,6.3858,20.8203,0.8593,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1274.3,1275.4
E3,device1,tinyllama,26,6.8483,50,7.3,3743.97,18.0394,5.5378,5.7683,6.7327,20.5449,0.878,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1274.8,1275.9
E3,device1,tinyllama,27,6.9969,50,7.15,3789.72,17.7917,5.496,5.5381,6.7569,20.9907,0.8476,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1276.1,1278.1
E3,device1,tinyllama,28,6.9467,50,7.2,3873.97,17.8707,5.5583,5.6753,6.6364,20.8401,0.8575,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1275.8,1275.8
E3,device1,tinyllama,29,6.9563,50,7.19,3794.86,17.689,5.5682,5.6039,6.5164,20.8689,0.8476,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1276.6,1277.1
E3,device1,tinyllama,30,8.6548,50,5.78,4723.23,19.1077,5.8407,6.3754,6.891,25.9644,0.7359,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1277.0,1277.0
