experiment,device,model,sample_id,expected,predicted,correct,tokens_per_sec,ttft_ms
E2-accuracy,device1,tinyllama,1,inquiry,"response:
hi i am unable to provide",False,1.51,6204.86
E2-accuracy,device1,tinyllama,2,inquiry,"response:
sure! the email is a",False,3.33,2436.31
E2-accuracy,device1,tinyllama,3,inquiry,"response:
return policy: this email falls under",False,2.94,2479.87
E2-accuracy,device1,tinyllama,4,inquiry,"response:
based on the provided email",False,3.28,2633.74
E2-accuracy,device1,tinyllama,5,inquiry,"response:
the email is classified as a",False,3.85,2184.44
E2-accuracy,device1,tinyllama,6,inquiry,"response:
yes your payment of rs",False,4.14,2001.82
E2-accuracy,device1,tinyllama,7,inquiry,"response:
category: inquiry

thank",True,4.37,1860.57
E2-accuracy,device1,tinyllama,8,inquiry,"response:
the email is classified as a",False,4.32,1899.83
E2-accuracy,device1,tinyllama,9,inquiry,"response:
yes we do offer bulk disc",False,4.23,1940.53
E2-accuracy,device1,tinyllama,10,inquiry,"response:
yes the new 20",False,3.36,2567.53
E2-accuracy,device1,tinyllama,11,complaint,"response:
category: complaint

thank",True,3.79,2220.92
E2-accuracy,device1,tinyllama,12,complaint,"response:
category: complaint

thank",True,3.8,2215.71
E2-accuracy,device1,tinyllama,13,complaint,"response:
category: complaint

thank",True,3.45,2462.29
E2-accuracy,device1,tinyllama,14,complaint,"response:
the email is classified as an",False,3.39,2513.48
E2-accuracy,device1,tinyllama,15,complaint,"response:
the email is classified as an",False,3.89,2138.1
E2-accuracy,device1,tinyllama,16,complaint,"response:
category: complaint

i",True,3.5,2434.89
E2-accuracy,device1,tinyllama,17,complaint,"response:
catgoer: (sent",False,3.25,2650.72
E2-accuracy,device1,tinyllama,18,complaint,"response:
category: complaint",True,2.55,2423.35
E2-accuracy,device1,tinyllama,19,complaint,"response:
category: complaint

thank",True,3.24,2673.38
E2-accuracy,device1,tinyllama,20,complaint,"response:
the email has been classified as",False,3.31,2592.42
E2-accuracy,device1,tinyllama,21,feedback,"response:
thank you for your feedback! we",True,3.68,2307.63
E2-accuracy,device1,tinyllama,22,feedback,"response:
thank you for sharing your feedback!",True,3.9,2126.01
E2-accuracy,device1,tinyllama,23,feedback,"response:
catgoer: thank you for",False,3.72,2264.5
E2-accuracy,device1,tinyllama,24,feedback,"response:
thank you for your email we",False,3.65,2315.3
E2-accuracy,device1,tinyllama,25,feedback,"response:
sure! here's how",False,3.73,2259.38
E2-accuracy,device1,tinyllama,26,feedback,"response:
thank you for your feedback! we",True,3.46,2464.46
E2-accuracy,device1,tinyllama,27,feedback,"response:
catgoeries: inquiry",False,3.48,2436.34
E2-accuracy,device1,tinyllama,28,feedback,"response:
the email is classified as an",False,3.81,2195.53
E2-accuracy,device1,tinyllama,29,feedback,"response:
thank you for your feedback! we",True,3.67,2283.53
E2-accuracy,device1,tinyllama,30,feedback,"response:
category: complaint

thank",False,4.04,2049.32
E2-accuracy,device1,tinyllama,31,spam,response: congratulations! you have won a,False,3.09,2804.36
E2-accuracy,device1,tinyllama,32,spam,"response:
catgoer: thank you for",False,3.38,2522.96
E2-accuracy,device1,tinyllama,33,spam,"response:
category: inquiry

thank",False,3.56,2386.57
E2-accuracy,device1,tinyllama,34,spam,"response:
dear valued customer",False,3.13,2719.15
E2-accuracy,device1,tinyllama,35,spam,"response:
the email is classified as """,False,3.55,2371.92
E2-accuracy,device1,tinyllama,36,spam,"response:
categoary: inquiry",False,3.0,2913.95
E2-accuracy,device1,tinyllama,37,spam,"response:
category: complaint

thank",False,3.22,2668.09
E2-accuracy,device1,tinyllama,38,spam,"response:
catgoer: ""sure",False,3.27,2637.32
E2-accuracy,device1,tinyllama,39,spam,"response:
categoory: complaint",False,2.98,2928.09
E2-accuracy,device1,tinyllama,40,spam,"response:
categoary: investment",False,2.91,3009.68
E2-accuracy,device1,tinyllama,41,urgent,"response:
catgo: urgent: server",True,3.47,2453.67
E2-accuracy,device1,tinyllama,42,urgent,"response:
category: urgent

i",True,3.23,2434.46
E2-accuracy,device1,tinyllama,43,urgent,"response:
category: complaint

thank",False,3.27,2589.16
E2-accuracy,device1,tinyllama,44,urgent,"response:
categoory: complaint",False,2.83,2664.74
