experiment,device,model,sample_id,expected,predicted,correct,tokens_per_sec,ttft_ms
E2-accuracy,device3,tinyllama,1,inquiry,"response:
hi i am unable to provide",False,4.63,2091.86
E2-accuracy,device3,tinyllama,2,inquiry,"response:
sure! the email is a",False,88.33,48.02
E2-accuracy,device3,tinyllama,3,inquiry,"response:
return policy: this email falls under",False,92.79,45.87
E2-accuracy,device3,tinyllama,4,inquiry,"response:
based on the provided email and",False,92.54,45.86
E2-accuracy,device3,tinyllama,5,inquiry,"response:
the email is a complaint and",False,94.68,44.69
E2-accuracy,device3,tinyllama,6,inquiry,"response:
yes your payment of rs",False,95.98,43.12
E2-accuracy,device3,tinyllama,7,inquiry,"response:
yes the email falls under the",False,94.38,44.11
E2-accuracy,device3,tinyllama,8,inquiry,"response:
the email is classified as a",False,90.88,47.78
E2-accuracy,device3,tinyllama,9,inquiry,"response:
yes we do offer bulk disc",False,94.23,44.22
E2-accuracy,device3,tinyllama,10,inquiry,"response:
yes the new 20",False,93.35,45.4
E2-accuracy,device3,tinyllama,11,complaint,"response:
the email is classified as a",False,95.64,43.14
E2-accuracy,device3,tinyllama,12,complaint,"response:
category: complaint

thank",True,95.64,43.62
E2-accuracy,device3,tinyllama,13,complaint,"response:
the email is classified as a",False,93.43,45.2
E2-accuracy,device3,tinyllama,14,complaint,"response:
the email is classified as an",False,94.45,44.91
E2-accuracy,device3,tinyllama,15,complaint,"response:
the email is classified as an",False,96.2,43.11
E2-accuracy,device3,tinyllama,16,complaint,"response:
category: complaint

i",True,95.32,43.57
E2-accuracy,device3,tinyllama,17,complaint,"response:
the email has been classified as",False,93.76,45.41
E2-accuracy,device3,tinyllama,18,complaint,"response:
the email has been classified as",False,94.41,44.94
E2-accuracy,device3,tinyllama,19,complaint,"response:
category: complaint

thank",True,92.13,45.32
E2-accuracy,device3,tinyllama,20,complaint,"response:
category: complaint

thank",True,94.74,43.76
E2-accuracy,device3,tinyllama,21,feedback,"response:
thank you for your feedback! we",True,94.51,44.27
E2-accuracy,device3,tinyllama,22,feedback,"response:
thank you for sharing your feedback!",True,95.16,42.89
E2-accuracy,device3,tinyllama,23,feedback,"response:
catgoeries: inquiry",False,93.92,44.39
E2-accuracy,device3,tinyllama,24,feedback,"response:
thank you for your email we",False,95.61,43.85
E2-accuracy,device3,tinyllama,25,feedback,"response:
sure! here's how",False,93.59,45.59
E2-accuracy,device3,tinyllama,26,feedback,"response:
thank you for your feedback! we",True,92.85,44.82
E2-accuracy,device3,tinyllama,27,feedback,"response:
catgoeries: inquiry",False,94.71,44.07
E2-accuracy,device3,tinyllama,28,feedback,"response:
thank you for your email the",False,94.09,43.03
E2-accuracy,device3,tinyllama,29,feedback,"response:
thank you for your feedback! we",True,94.67,43.07
E2-accuracy,device3,tinyllama,30,feedback,"response:
category: complaint

thank",False,94.63,43.63
E2-accuracy,device3,tinyllama,31,spam,"response: category: complaint

email:",False,92.21,46.76
E2-accuracy,device3,tinyllama,32,spam,"response:
catgoir: urg",False,92.71,45.83
E2-accuracy,device3,tinyllama,33,spam,"response:
category: inquiry

thank",False,94.55,44.71
E2-accuracy,device3,tinyllama,34,spam,"response:
dear valued customer",False,92.64,46.14
